epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,5462.77,0.63803,0.00514,0.0319,0.33111,0.92148,0.99941,1,0.995,0.87854,0.99941,1,0.995,0.99287,0.60967,0.01135,0.00019,0.27832,0.86458,0.000878,0.000878,0.000878
87,5517.53,0.66921,0.00444,0.02622,0.32802,0.92638,0.99939,1,0.995,0.85593,0.99939,1,0.995,0.99169,0.65073,0.01167,8e-05,0.26681,0.87618,0.0008648,0.0008648,0.0008648
88,5572.85,0.64389,0.00416,0.01983,0.32583,0.92185,0.99941,1,0.995,0.86411,0.99941,1,0.995,0.99351,0.69946,0.01143,0.00014,0.27256,0.89352,0.0008516,0.0008516,0.0008516
89,5635.75,0.64906,0.00404,0.02016,0.32376,0.93417,0.99941,1,0.995,0.87872,0.99941,1,0.995,0.99435,0.65625,0.01095,0.00026,0.26631,0.87497,0.0008384,0.0008384,0.0008384
90,5698.55,0.64316,0.00495,0.02515,0.3314,0.92326,0.99942,1,0.995,0.8615,0.99942,1,0.995,0.99342,0.67745,0.01152,0.00014,0.2735,0.87427,0.0008252,0.0008252,0.0008252
91,5763.04,0.65324,0.00691,0.04687,0.33781,0.93007,0.9994,1,0.995,0.863,0.9994,1,0.995,0.99355,0.67387,0.01119,5e-05,0.28105,0.87823,0.000812,0.000812,0.000812
92,5818.38,0.6221,0.00372,0.02673,0.32284,0.91347,1,1,0.995,0.86796,1,1,0.995,0.99231,0.67312,0.01173,9e-05,0.28394,0.87704,0.0007988,0.0007988,0.0007988
93,5873.95,0.65716,0.00447,0.03417,0.33744,0.92895,0.99942,1,0.995,0.88463,0.99942,1,0.995,0.99292,0.63816,0.01119,0.00023,0.2605,0.8713,0.0007856,0.0007856,0.0007856
94,5929.47,0.62208,0.00362,0.02484,0.32689,0.91567,0.99942,1,0.995,0.87529,0.99942,1,0.995,0.99344,0.64729,0.01158,0.00077,0.26843,0.87367,0.0007724,0.0007724,0.0007724
95,5993.77,0.63812,0.00429,0.02162,0.32453,0.91523,0.99942,1,0.995,0.86071,0.99942,1,0.995,0.99406,0.69015,0.01196,0.00088,0.27387,0.87748,0.0007592,0.0007592,0.0007592
96,6062.12,0.66167,0.00391,0.01616,0.33225,0.91402,0.99942,1,0.995,0.86489,0.99942,1,0.995,0.99272,0.65005,0.01116,0.00028,0.26822,0.87123,0.000746,0.000746,0.000746
97,6129.77,0.61194,0.00379,0.02803,0.30677,0.91694,0.99943,1,0.995,0.87023,0.99943,1,0.995,0.99109,0.61517,0.01181,0.00012,0.26147,0.86041,0.0007328,0.0007328,0.0007328
98,6197.08,0.63746,0.00348,0.01931,0.32793,0.92405,0.9994,1,0.995,0.84371,0.9994,1,0.995,0.99203,0.67066,0.01098,0.00015,0.26698,0.88067,0.0007196,0.0007196,0.0007196
99,6265,0.64444,0.00396,0.03006,0.32902,0.92,0.99941,1,0.995,0.85225,0.99941,1,0.995,0.99061,0.67113,0.01129,0.00018,0.26456,0.87596,0.0007064,0.0007064,0.0007064
100,6333.65,0.65871,0.00351,0.01751,0.33181,0.92573,0.99941,1,0.995,0.87041,0.99941,1,0.995,0.99077,0.62893,0.01129,0.00038,0.25606,0.87044,0.0006932,0.0006932,0.0006932
101,6402.45,0.61573,0.00586,0.03701,0.30905,0.92037,0.9994,1,0.995,0.86335,0.9994,1,0.995,0.99133,0.65149,0.01117,0.00036,0.26304,0.87122,0.00068,0.00068,0.00068
102,6470.68,0.63362,0.00287,0.02168,0.31604,0.93139,0.99941,1,0.995,0.86127,0.99941,1,0.995,0.99158,0.66452,0.01096,0.00029,0.25444,0.87205,0.0006668,0.0006668,0.0006668
103,6539.3,0.62603,0.0037,0.02429,0.30774,0.9152,0.99942,1,0.995,0.87603,0.99942,1,0.995,0.99183,0.61929,0.01091,0.00033,0.25517,0.86604,0.0006536,0.0006536,0.0006536
104,6607.2,0.62311,0.0044,0.02001,0.31986,0.92251,0.99942,1,0.995,0.88126,0.99942,1,0.995,0.99331,0.64199,0.01137,0.00014,0.25203,0.87241,0.0006404,0.0006404,0.0006404
